State of Origin,Industry of Origin (ANZSIC06),Commodity by SITC,Frequency,Country of Destination,Time,Value,Flags
"Total","Total","TOTAL","Monthly","Qatar","Feb-2014",39875.278,
"Total","Total","TOTAL","Monthly","Qatar","Mar-2014",39903.715,
"Total","Total","TOTAL","Monthly","Qatar","Apr-2014",52084.499,
"Total","Total","TOTAL","Monthly","Qatar","May-2014",51463.523,
"Total","Total","TOTAL","Monthly","Puerto Rico","Aug-2013",47.517,
"Total","Total","TOTAL","Monthly","Puerto Rico","Sep-2013",118.321,
"Total","Total","TOTAL","Monthly","Puerto Rico","Oct-2013",436.308,
"Total","Total","TOTAL","Monthly","Puerto Rico","Nov-2013",134.718,
"Total","Total","TOTAL","Monthly","Puerto Rico","Dec-2013",3678.045,
"Total","Total","TOTAL","Monthly","Puerto Rico","Jan-2014",1015.119,
"Total","Total","TOTAL","Monthly","Puerto Rico","Feb-2014",953.886,
"Total","Total","TOTAL","Monthly","Puerto Rico","Mar-2014",2894.243,
"Total","Total","TOTAL","Monthly","Puerto Rico","Apr-2014",452.001,
"Total","Total","TOTAL","Monthly","Puerto Rico","May-2014",1672.126,
"Total","Total","TOTAL","Monthly","Romania","Aug-2013",3579.266,
"Total","Total","TOTAL","Monthly","Romania","Sep-2013",2768.233,
"Total","Total","TOTAL","Monthly","Romania","Oct-2013",2669.713,
"Total","Total","TOTAL","Monthly","Romania","Nov-2013",3884.956,
"Total","Total","TOTAL","Monthly","Romania","Dec-2013",3019.516,
"Total","Total","TOTAL","Monthly","Romania","Jan-2014",4932.004,
"Total","Total","TOTAL","Monthly","Romania","Feb-2014",3348.204,
"Total","Total","TOTAL","Monthly","Romania","Mar-2014",4536.088,
"Total","Total","TOTAL","Monthly","Romania","Apr-2014",3322.588,
"Total","Total","TOTAL","Monthly","Romania","May-2014",3700.231,
"Total","Total","TOTAL","Monthly","Sao Tome and Principe","Aug-2013",104.99,
"Total","Total","TOTAL","Monthly","Saudi Arabia","Aug-2013",169316.847,
"Total","Total","TOTAL","Monthly","Saudi Arabia","Sep-2013",130090.038,
"Total","Total","TOTAL","Monthly","Saudi Arabia","Oct-2013",150556.301,
"Total","Total","TOTAL","Monthly","Saudi Arabia","Nov-2013",172017.703,
"Total","Total","TOTAL","Monthly","Saudi Arabia","Dec-2013",228485.08,
"Total","Total","TOTAL","Monthly","Saudi Arabia","Jan-2014",143998.628,
"Total","Total","TOTAL","Monthly","Saudi Arabia","Feb-2014",240926.271,
